ID,Key,Gemiddelde WOZ,Meest voorkomende postcode
370,BU01411904,370,      7609
371,BU01411905,288,      7609
372,BU01411906,369,      7609
373,BU01411907,383,      7609
374,BU01411908,376,      7609
375,BU01411909,398,      7609
376,BU01411910,,      7609
377,BU01411920,,      7609
378,WK014120  ,396,         .
379,BU01412000,467,      7611
380,BU01412001,370,      7611
381,WK014121  ,451,         .
382,BU01412100,404,      7627
383,BU01412109,524,      7627
384,GM0034    ,363,         .
385,WK003401  ,282,         .
386,BU00340101,232,      1354
387,BU00340102,311,      1353
388,WK003402  ,279,         .
389,BU00340201,301,      1355
390,BU00340202,290,      1357
391,BU00340203,264,      1357
392,BU00340204,262,      1354
393,BU00340205,270,      1354
394,WK003403  ,276,         .
395,BU00340301,326,      1352
396,BU00340302,270,      1354
397,BU00340303,252,      1353
398,BU00340304,,      1353
399,WK003404  ,312,         .
400,BU00340401,335,      1356
401,BU00340402,313,      1357
402,BU00340403,288,      1357
403,WK003405  ,334,         .
404,BU00340501,355,      1356
405,BU00340502,314,      1356
406,BU00340503,335,      1356
407,BU00340504,,         .
408,WK003406  ,309,         .
409,BU00340601,318,      1355
410,BU00340602,270,      1355
411,BU00340603,367,      1351
412,BU00340604,,      1355
413,BU00340605,,      1351
414,BU00340606,,         .
415,WK003407  ,329,         .
416,BU00340701,360,      1351
417,BU00340702,341,      1351
418,BU00340703,296,      1352
419,BU00340704,,      1351
420,WK003408  ,261,         .
421,BU00340801,261,      1353
422,BU00340802,265,      1353
423,BU00340803,259,      1353
424,WK003409  ,591,         .
425,BU00340901,728,      1359
426,BU00340902,525,      1359
427,WK003410  ,1212,         .
428,BU00341001,1212,      1358
429,BU00341002,,      1357
430,BU00341003,,      1358
431,WK003411  ,426,         .
432,BU00341101,492,      1359
433,BU00341102,341,      1359
434,WK003414  ,236,         .
435,BU00341401,236,      1351
436,WK003415  ,,         .
437,BU00341501,,      1358
438,WK003416  ,,         .
439,BU00341601,,         .
440,BU00341602,,      1351
441,WK003417  ,276,         .
442,BU00341701,311,      1314
443,BU00341702,239,      1315
444,BU00341703,364,      1315
445,BU00341704,318,      1315
446,BU00341705,222,      1315
447,WK003418  ,363,         .
448,BU00341801,244,      1325
449,BU00341802,308,      1325
450,BU00341803,392,      1325
451,BU00341804,501,      1325
452,BU00341805,365,      1325
453,BU00341806,357,      1325
454,BU00341807,,         .
455,BU00341808,,      1325
456,WK003419  ,345,         .
457,BU00341901,332,      1326
458,BU00341902,336,      1326
459,BU00341903,340,      1326
460,BU00341904,425,      1326
461,WK003420  ,397,         .
462,BU00342001,349,      1326
463,BU00342002,364,      1326
464,BU00342003,442,      1326
